Title,Genres,Rating
Obsession - Du sollst mich lieben,Horror|Thriller,8.261
Toy Story 5,Animation|Familie|Komödie|Abenteuer,7.417
Disclosure Day - Der Tag der Wahrheit,Science Fiction|Thriller,6.692
Vaiana,Familie|Fantasy|Komödie|Abenteuer,5.631
Scary Movie,Komödie|Horror,5.407
Backrooms,Horror|Mystery|Science Fiction,6.919
Der Teufel trägt Prada 2,Komödie|Drama,7.089
Passenger,Horror|Thriller,7.138
The Furious,Action|Krimi|Thriller,7.5
Твоё сердце будет разбито,Liebesfilm,7.094
Citizen Vigilante,Thriller|Action|Krimi,6.492
Deep Water,Horror|Thriller,7.374
Die Verurteilten,Drama|Krimi,8.725
Michael,Musik|Drama,8.699
Der Astronaut – Project Hail Mary,Science Fiction|Abenteuer,8.667
Die Odyssee,Abenteuer|Action|Fantasy,5.4
Der Super Mario Galaxy Film,Familie|Komödie|Abenteuer|Fantasy|Animation,8.256
Mortal Kombat II,Action|Fantasy|Abenteuer,7.984
Evil Dead Burn,Horror|Thriller,6.903
Avatar Aang: Der Herr der Elemente,Animation|Action|Abenteuer|Fantasy,0.0
愛のぬくもり,Liebesfilm,5.0
The Get Out,Action|Thriller,6.4
Avatar: Fire and Ash,Science Fiction|Abenteuer|Fantasy,7.629
Verhängnis,Drama|Liebesfilm,6.6
Night of the Living Dead,Horror,5.163
Lee Cronin's The Mummy,Horror|Mystery,7.978
Vixen - Ohne Gnade Schätzchen,Drama,5.5
Minions & Monster,Abenteuer|Animation|Komödie|Familie|Fantasy,6.318
Black Box,Horror|Thriller|Science Fiction,6.225
우리 지금 할래,Liebesfilm,0.0
Star Wars: The Mandalorian and Grogu,Action|Abenteuer|Science Fiction,6.7
Spider-Man: Brand New Day,Science Fiction|Action|Abenteuer,0.0
Demon Slayer: Kimetsu no Yaiba Infinity Castle,Animation|Action|Fantasy,7.7
Graphic Desires – Grenzen der Lust,Thriller|Krimi,7.025
ਸਤਲੁਜ,Krimi|Drama|Historie,8.0
The Banished,Horror,4.1
Enola Holmes 3,Abenteuer|Krimi|Mystery,6.999
Glennkill: Ein Schafskrimi,Komödie|Familie|Mystery,7.893
The Punisher: One Last Kill,Action|Drama|Krimi,8.329
Hoppers,Abenteuer|Animation|Komödie|Familie|Science Fiction,8.206
Dolly,Horror,5.849
Kraken - Erwachen der Tiefe,Horror|Action|Thriller,6.427
Peddi,Action|Drama,6.1
La soldatessa alla visita militare,Komödie,5.036
Swapped – Getauscht,Abenteuer|Animation|Familie|Fantasy,8.913
Summerween,Horror|Thriller,5.667
Zombies of the Third Reich,Horror|Historie,4.833
Little Brother,Komödie,6.477
抓特务,Historie|Drama,6.2
Apex,Action|Thriller,6.855
Shadow Chase - Im Netz der Diebe,Action|Krimi|Drama|Thriller,7.889
Boulevard,Liebesfilm|Drama,7.821
Supergirl,Action|Abenteuer|Science Fiction,6.227
In the Grey,Action|Thriller,7.4
Tom Clancy's Jack Ryan: Ghost War,Action|Thriller,6.986
Voicemails for Isabelle,Liebesfilm|Komödie,8.392
Krieg der Welten,Science Fiction|Thriller,4.105
Simpsley,Animation|Komödie|Krimi,7.948
Zoomania 2,Animation|Abenteuer|Komödie|Mystery|Familie,7.676
Shelter,Action|Krimi|Thriller,7.741
రాకాస,Fantasy|Komödie,6.571
Inception,Action|Science Fiction|Abenteuer,8.372
Send Help,Horror|Thriller|Komödie,7.046
Seven Snipers,Action|Thriller,5.821
功夫女足,Drama|Komödie|Action,5.2
Interstellar,Abenteuer|Drama|Science Fiction,8.481
Spider-Man: No Way Home,Action|Abenteuer|Science Fiction,7.934
Predator: Badlands,Action|Science Fiction|Abenteuer,7.822
G.O.A.T. - Bock auf grosse Sprünge,Animation|Komödie|Familie,8.115
Toy Story,Familie|Komödie|Animation|Abenteuer,8.0
A Toy Story: Alles hört auf kein Kommando,Familie|Komödie|Animation|Abenteuer,7.462
Ne Zha 2,Animation|Action|Fantasy|Abenteuer,8.152
Culpa Tuya - Deine Schuld: London,Liebesfilm|Drama,7.5
Poppea - Die Kaiserin der Gladiatoren,Komödie,4.7
Vaiana 2,Abenteuer|Animation|Komödie|Familie|Fantasy,6.995
The Housemaid - Wenn sie wüsste,Mystery|Thriller,7.264
Madness - Zum töten gezwungen,Thriller|Action|Krimi,5.265
From Straight A's to XXX,Drama|TV-Film,5.893
Das Ende der Nacht,Drama,5.8
Greenland 2,Abenteuer|Thriller|Science Fiction,6.451
สัปเหร่อ 2 โลกหลังความตาย,Komödie|Drama|Horror,7.2
Ziemlich beste Freunde,Drama|Komödie,8.273
The Dark Knight,Action|Krimi|Thriller,8.533
Matrix,Action|Science Fiction,8.251
Ikka,Drama|Thriller,5.136
Shaolin Kickers,Action|Komödie,7.174
镜花风月三之螺女挑情,Horror,6.2
Beware the Boogeyman,Horror|Thriller,4.2
Detektiv Conan Film 29: Der gefallene Engel des Highways,Animation|Action|Mystery|Krimi,7.8
Infiltrate,Action|Thriller,0.0
Der Pate,Drama|Krimi,8.687
Dune,Science Fiction|Abenteuer|Kriegsfilm,7.782
Avengers: Infinity War,Abenteuer|Action|Science Fiction,8.239
Chihiros Reise ins Zauberland,Animation|Familie|Fantasy,8.535
Culpa Mia - Meine Schuld,Drama|Liebesfilm|Thriller,7.735
Il peccato di Lola,Drama|Komödie|Horror,7.0
Beast,Action|Drama,6.2
Toy Story 3,Animation|Familie|Komödie,7.812
Harry Potter und der Stein der Weisen,Abenteuer|Fantasy,7.901
Kill Code,Action|Thriller|Science Fiction,5.214
